date,year,month,day,dow,od_pair,market_country,dest_country,n_flights,total_capacity,expected_demand,latent_seats,yield_economy_usd,shock_factor,seasonal_index,dow_factor,trend_factor
2015-01-31,2015,1,31,5,AE→US,AE,US,2,982,517.8,521,702.24,1.0,1.02,0.92,1.0
2015-02-01,2015,2,1,6,AE→US,AE,US,2,982,595.6,570,769.95,1.0,0.99,1.06,1.0074
2015-02-02,2015,2,2,0,AE→US,AE,US,2,982,771.8,773,923.17,1.0,0.99,1.05,1.0074
2015-02-03,2015,2,3,1,AE→US,AE,US,2,982,614.9,667,786.68,1.0,0.99,0.88,1.0074
2015-02-04,2015,2,4,2,AE→US,AE,US,2,982,666.4,664,831.47,1.0,0.99,0.92,1.0074
2015-02-05,2015,2,5,3,AE→US,AE,US,2,982,697.0,713,858.12,1.0,0.99,1.02,1.0074
2015-02-06,2015,2,6,4,AE→US,AE,US,2,982,725.7,719,883.08,1.0,0.99,1.15,1.0074
2015-02-07,2015,2,7,5,AE→US,AE,US,2,982,598.0,563,772.01,1.0,0.99,0.92,1.0074
2015-02-08,2015,2,8,6,AE→US,AE,US,2,982,717.2,701,875.66,1.0,0.99,1.06,1.0074
2015-02-09,2015,2,9,0,AE→US,AE,US,2,982,776.2,765,926.98,1.0,0.99,1.05,1.0074
2015-02-10,2015,2,10,1,AE→US,AE,US,2,982,596.5,591,770.67,1.0,0.99,0.88,1.0074
2015-02-11,2015,2,11,2,AE→US,AE,US,2,982,654.4,660,821.0,1.0,0.99,0.92,1.0074
2015-02-12,2015,2,12,3,AE→US,AE,US,2,982,692.3,702,853.98,1.0,0.99,1.02,1.0074
2015-02-13,2015,2,13,4,AE→US,AE,US,2,982,892.8,883,1028.33,1.0,0.99,1.15,1.0074
2015-02-14,2015,2,14,5,AE→US,AE,US,2,982,692.7,742,854.31,1.0,0.99,0.92,1.0074
2015-02-15,2015,2,15,6,AE→US,AE,US,2,982,567.5,605,745.5,1.0,0.99,1.06,1.0074
2015-02-16,2015,2,16,0,AE→US,AE,US,2,982,636.1,638,805.13,1.0,0.99,1.05,1.0074
2015-02-17,2015,2,17,1,AE→US,AE,US,2,982,535.3,563,717.48,1.0,0.99,0.88,1.0074
2015-02-18,2015,2,18,2,AE→US,AE,US,2,982,698.9,682,859.75,1.0,0.99,0.92,1.0074
2015-02-19,2015,2,19,3,AE→US,AE,US,2,982,650.0,590,817.21,1.0,0.99,1.02,1.0074
2015-02-20,2015,2,20,4,AE→US,AE,US,2,982,825.2,839,969.6,1.0,0.99,1.15,1.0074
2015-02-21,2015,2,21,5,AE→US,AE,US,2,982,617.2,628,788.66,1.0,0.99,0.92,1.0074
2015-02-22,2015,2,22,6,AE→US,AE,US,2,982,628.3,603,798.32,1.0,0.99,1.06,1.0074
2015-02-23,2015,2,23,0,AE→US,AE,US,2,982,693.0,683,854.61,1.0,0.99,1.05,1.0074
2015-02-24,2015,2,24,1,AE→US,AE,US,2,982,608.3,581,780.94,1.0,0.99,0.88,1.0074
2015-02-25,2015,2,25,2,AE→US,AE,US,2,982,656.3,606,822.66,1.0,0.99,0.92,1.0074
2015-02-26,2015,2,26,3,AE→US,AE,US,2,982,614.7,616,786.51,1.0,0.99,1.02,1.0074
2015-02-27,2015,2,27,4,AE→US,AE,US,2,982,857.3,824,997.45,1.0,0.99,1.15,1.0074
2015-02-28,2015,2,28,5,AE→US,AE,US,2,982,599.6,589,773.35,1.0,0.99,0.92,1.0074
2015-03-01,2015,3,1,6,AE→US,AE,US,2,982,707.7,701,867.4,1.0,0.94,1.06,1.0147
2015-03-02,2015,3,2,0,AE→US,AE,US,2,982,699.5,663,860.29,1.0,0.94,1.05,1.0147
2015-03-03,2015,3,3,1,AE→US,AE,US,2,982,584.3,559,760.12,1.0,0.94,0.88,1.0147
2015-03-04,2015,3,4,2,AE→US,AE,US,2,982,585.1,612,760.75,1.0,0.94,0.92,1.0147
2015-03-05,2015,3,5,3,AE→US,AE,US,2,982,562.6,591,741.19,1.0,0.94,1.02,1.0147
2015-03-06,2015,3,6,4,AE→US,AE,US,2,982,752.5,767,906.35,1.0,0.94,1.15,1.0147
2015-03-07,2015,3,7,5,AE→US,AE,US,2,982,627.0,624,797.21,1.0,0.94,0.92,1.0147
2015-03-08,2015,3,8,6,AE→US,AE,US,2,982,661.9,674,827.59,1.0,0.94,1.06,1.0147
2015-03-09,2015,3,9,0,AE→US,AE,US,2,982,692.2,712,853.9,1.0,0.94,1.05,1.0147
2015-03-10,2015,3,10,1,AE→US,AE,US,2,982,640.0,639,808.56,1.0,0.94,0.88,1.0147
2015-03-11,2015,3,11,2,AE→US,AE,US,2,982,536.3,528,718.36,1.0,0.94,0.92,1.0147
2015-03-12,2015,3,12,3,AE→US,AE,US,2,982,615.5,600,787.2,1.0,0.94,1.02,1.0147
2015-03-13,2015,3,13,4,AE→US,AE,US,2,982,648.6,677,816.0,1.0,0.94,1.15,1.0147
2015-03-14,2015,3,14,5,AE→US,AE,US,2,982,565.1,551,743.36,1.0,0.94,0.92,1.0147
2015-03-15,2015,3,15,6,AE→US,AE,US,2,982,620.2,640,791.33,1.0,0.94,1.06,1.0147
2015-03-16,2015,3,16,0,AE→US,AE,US,2,982,745.8,766,900.55,1.0,0.94,1.05,1.0147
2015-03-17,2015,3,17,1,AE→US,AE,US,2,982,582.1,602,758.15,1.0,0.94,0.88,1.0147
2015-03-18,2015,3,18,2,AE→US,AE,US,2,982,642.5,658,810.72,1.0,0.94,0.92,1.0147
2015-03-19,2015,3,19,3,AE→US,AE,US,2,982,660.3,700,826.2,1.0,0.94,1.02,1.0147
2015-03-20,2015,3,20,4,AE→US,AE,US,2,982,776.4,760,927.09,1.0,0.94,1.15,1.0147
2015-03-21,2015,3,21,5,AE→US,AE,US,2,982,636.8,624,805.73,1.0,0.94,0.92,1.0147
2015-03-22,2015,3,22,6,AE→US,AE,US,2,982,740.0,740,895.47,1.0,0.94,1.06,1.0147
2015-03-23,2015,3,23,0,AE→US,AE,US,2,982,729.5,749,886.35,1.0,0.94,1.05,1.0147
2015-03-24,2015,3,24,1,AE→US,AE,US,2,982,585.9,537,761.49,1.0,0.94,0.88,1.0147
2015-03-25,2015,3,25,2,AE→US,AE,US,2,982,540.9,506,722.38,1.0,0.94,0.92,1.0147
2015-03-26,2015,3,26,3,AE→US,AE,US,2,982,675.8,729,839.65,1.0,0.94,1.02,1.0147
2015-03-27,2015,3,27,4,AE→US,AE,US,2,982,724.5,728,882.0,1.0,0.94,1.15,1.0147
2015-03-28,2015,3,28,5,AE→US,AE,US,2,982,543.2,531,724.38,1.0,0.94,0.92,1.0147
2015-03-29,2015,3,29,6,AE→US,AE,US,2,982,648.4,658,815.83,1.0,0.94,1.06,1.0147
2015-03-30,2015,3,30,0,AE→US,AE,US,2,982,638.7,602,807.39,1.0,0.94,1.05,1.0147
2015-03-31,2015,3,31,1,AE→US,AE,US,2,982,503.1,498,689.5,1.0,0.94,0.88,1.0147
2015-04-01,2015,4,1,2,AE→US,AE,US,2,982,710.1,699,869.48,1.0,1.12,0.92,1.0219
2015-04-02,2015,4,2,3,AE→US,AE,US,2,982,888.7,889,1024.79,1.0,1.12,1.02,1.0219
2015-04-03,2015,4,3,4,AE→US,AE,US,2,982,827.9,797,971.95,1.0,1.12,1.15,1.0219
2015-04-04,2015,4,4,5,AE→US,AE,US,2,982,697.3,636,858.32,1.0,1.12,0.92,1.0219
2015-04-05,2015,4,5,6,AE→US,AE,US,2,982,756.0,723,909.39,1.0,1.12,1.06,1.0219
2015-04-06,2015,4,6,0,AE→US,AE,US,2,982,811.0,810,957.2,1.0,1.12,1.05,1.0219
2015-04-07,2015,4,7,1,AE→US,AE,US,2,982,686.7,697,849.09,1.0,1.12,0.88,1.0219
2015-04-08,2015,4,8,2,AE→US,AE,US,2,982,819.8,794,964.88,1.0,1.12,0.92,1.0219
2015-04-09,2015,4,9,3,AE→US,AE,US,2,982,698.0,692,858.99,1.0,1.12,1.02,1.0219
2015-04-10,2015,4,10,4,AE→US,AE,US,2,982,874.3,843,1012.25,1.0,1.12,1.15,1.0219
2015-04-11,2015,4,11,5,AE→US,AE,US,2,982,682.1,681,845.15,1.0,1.12,0.92,1.0219
2015-04-12,2015,4,12,6,AE→US,AE,US,2,982,774.6,819,925.53,1.0,1.12,1.06,1.0219
2015-04-13,2015,4,13,0,AE→US,AE,US,2,982,894.0,869,1029.37,1.0,1.12,1.05,1.0219
2015-04-14,2015,4,14,1,AE→US,AE,US,2,982,789.6,784,938.58,1.0,1.12,0.88,1.0219
2015-04-15,2015,4,15,2,AE→US,AE,US,2,982,814.7,780,960.45,1.0,1.12,0.92,1.0219
2015-04-16,2015,4,16,3,AE→US,AE,US,2,982,733.8,709,890.07,1.0,1.12,1.02,1.0219
2015-04-17,2015,4,17,4,AE→US,AE,US,2,982,849.4,840,990.59,1.0,1.12,1.15,1.0219
2015-04-18,2015,4,18,5,AE→US,AE,US,2,982,660.8,676,826.61,1.0,1.12,0.92,1.0219
2015-04-19,2015,4,19,6,AE→US,AE,US,2,982,785.7,748,935.23,1.0,1.12,1.06,1.0219
2015-04-20,2015,4,20,0,AE→US,AE,US,2,982,760.1,727,913.0,1.0,1.12,1.05,1.0219
2015-04-21,2015,4,21,1,AE→US,AE,US,2,982,700.8,754,861.38,1.0,1.12,0.88,1.0219
2015-04-22,2015,4,22,2,AE→US,AE,US,2,982,645.1,648,812.98,1.0,1.12,0.92,1.0219
2015-04-23,2015,4,23,3,AE→US,AE,US,2,982,797.9,770,945.86,1.0,1.12,1.02,1.0219
2015-04-24,2015,4,24,4,AE→US,AE,US,2,982,872.3,924,1010.54,1.0,1.12,1.15,1.0219
2015-04-25,2015,4,25,5,AE→US,AE,US,2,982,743.4,802,898.44,1.0,1.12,0.92,1.0219
2015-04-26,2015,4,26,6,AE→US,AE,US,2,982,880.0,894,1017.2,1.0,1.12,1.06,1.0219
2015-04-27,2015,4,27,0,AE→US,AE,US,2,982,753.5,755,907.22,1.0,1.12,1.05,1.0219
2015-04-28,2015,4,28,1,AE→US,AE,US,2,982,683.5,714,846.39,1.0,1.12,0.88,1.0219
2015-04-29,2015,4,29,2,AE→US,AE,US,2,982,756.4,778,909.77,1.0,1.12,0.92,1.0219
2015-04-30,2015,4,30,3,AE→US,AE,US,2,982,864.0,819,1003.32,1.0,1.12,1.02,1.0219
2015-05-01,2015,5,1,4,AE→US,AE,US,2,982,929.5,949,1060.24,1.0,1.06,1.15,1.0289
2015-05-02,2015,5,2,5,AE→US,AE,US,2,982,610.8,649,783.1,1.0,1.06,0.92,1.0289
2015-05-03,2015,5,3,6,AE→US,AE,US,2,982,811.3,774,957.45,1.0,1.06,1.06,1.0289
2015-05-04,2015,5,4,0,AE→US,AE,US,2,982,807.2,782,953.88,1.0,1.06,1.05,1.0289
2015-05-05,2015,5,5,1,AE→US,AE,US,2,982,721.7,748,879.57,1.0,1.06,0.88,1.0289
2015-05-06,2015,5,6,2,AE→US,AE,US,2,982,683.9,666,846.74,1.0,1.06,0.92,1.0289
2015-05-07,2015,5,7,3,AE→US,AE,US,2,982,755.5,755,908.99,1.0,1.06,1.02,1.0289
2015-05-08,2015,5,8,4,AE→US,AE,US,2,982,890.3,865,1026.19,1.0,1.06,1.15,1.0289
2015-05-09,2015,5,9,5,AE→US,AE,US,2,982,717.6,690,876.01,1.0,1.06,0.92,1.0289
2015-05-10,2015,5,10,6,AE→US,AE,US,2,982,781.0,769,931.16,1.0,1.06,1.06,1.0289
2015-05-11,2015,5,11,0,AE→US,AE,US,2,982,885.8,862,1022.23,1.0,1.06,1.05,1.0289
2015-05-12,2015,5,12,1,AE→US,AE,US,2,982,720.2,753,878.26,1.0,1.06,0.88,1.0289
2015-05-13,2015,5,13,2,AE→US,AE,US,2,982,523.8,553,707.48,1.0,1.06,0.92,1.0289
2015-05-14,2015,5,14,3,AE→US,AE,US,2,982,866.1,878,1005.13,1.0,1.06,1.02,1.0289
2015-05-15,2015,5,15,4,AE→US,AE,US,2,982,878.9,873,1016.26,1.0,1.06,1.15,1.0289
2015-05-16,2015,5,16,5,AE→US,AE,US,2,982,662.9,636,828.43,1.0,1.06,0.92,1.0289
2015-05-17,2015,5,17,6,AE→US,AE,US,2,982,755.0,780,908.53,1.0,1.06,1.06,1.0289
2015-05-18,2015,5,18,0,AE→US,AE,US,2,982,827.9,867,971.89,1.0,1.06,1.05,1.0289
2015-05-19,2015,5,19,1,AE→US,AE,US,2,982,691.1,654,852.96,1.0,1.06,0.88,1.0289
2015-05-20,2015,5,20,2,AE→US,AE,US,2,982,747.3,755,901.81,1.0,1.06,0.92,1.0289
2015-05-21,2015,5,21,3,AE→US,AE,US,2,982,622.4,639,793.25,1.0,1.06,1.02,1.0289
2015-05-22,2015,5,22,4,AE→US,AE,US,2,982,839.2,790,981.78,1.0,1.06,1.15,1.0289
2015-05-23,2015,5,23,5,AE→US,AE,US,2,982,738.8,747,894.43,1.0,1.06,0.92,1.0289
2015-05-24,2015,5,24,6,AE→US,AE,US,2,982,740.0,741,895.5,1.0,1.06,1.06,1.0289
2015-05-25,2015,5,25,0,AE→US,AE,US,2,982,704.7,713,864.82,1.0,1.06,1.05,1.0289
2015-05-26,2015,5,26,1,AE→US,AE,US,2,982,673.1,659,837.34,1.0,1.06,0.88,1.0289
2015-05-27,2015,5,27,2,AE→US,AE,US,2,982,762.8,747,915.29,1.0,1.06,0.92,1.0289
2015-05-28,2015,5,28,3,AE→US,AE,US,2,982,802.8,818,950.09,1.0,1.06,1.02,1.0289
2015-05-29,2015,5,29,4,AE→US,AE,US,2,982,894.9,924,1030.19,1.0,1.06,1.15,1.0289
2015-05-30,2015,5,30,5,AE→US,AE,US,2,982,674.5,645,838.55,1.0,1.06,0.92,1.0289
2015-05-31,2015,5,31,6,AE→US,AE,US,2,982,922.0,954,1053.75,1.0,1.06,1.06,1.0289
2015-06-01,2015,6,1,0,AE→US,AE,US,2,982,868.4,845,1007.16,1.0,1.16,1.05,1.0359
2015-06-02,2015,6,2,1,AE→US,AE,US,2,982,675.6,703,839.5,1.0,1.16,0.88,1.0359
2015-06-03,2015,6,3,2,AE→US,AE,US,2,982,773.1,760,924.23,1.0,1.16,0.92,1.0359
2015-06-04,2015,6,4,3,AE→US,AE,US,2,982,801.6,816,949.04,1.0,1.16,1.02,1.0359
2015-06-05,2015,6,5,4,AE→US,AE,US,2,982,907.2,928,1040.85,1.0,1.16,1.15,1.0359
2015-06-06,2015,6,6,5,AE→US,AE,US,2,982,751.7,726,905.66,1.0,1.16,0.92,1.0359
2015-06-07,2015,6,7,6,AE→US,AE,US,2,982,911.2,947,1044.32,1.0,1.16,1.06,1.0359
2015-06-08,2015,6,8,0,AE→US,AE,US,2,982,907.1,908,1040.74,1.0,1.16,1.05,1.0359
2015-06-09,2015,6,9,1,AE→US,AE,US,2,982,751.6,711,905.55,1.0,1.16,0.88,1.0359
2015-06-10,2015,6,10,2,AE→US,AE,US,2,982,642.3,642,810.52,1.0,1.16,0.92,1.0359
2015-06-11,2015,6,11,3,AE→US,AE,US,2,982,939.2,961,1068.69,1.0,1.16,1.02,1.0359
2015-06-12,2015,6,12,4,AE→US,AE,US,2,982,910.8,916,1043.97,1.0,1.16,1.15,1.0359
2015-06-13,2015,6,13,5,AE→US,AE,US,2,982,802.5,773,949.82,1.0,1.16,0.92,1.0359
2015-06-14,2015,6,14,6,AE→US,AE,US,2,982,945.7,961,1074.38,1.0,1.16,1.06,1.0359
2015-06-15,2015,6,15,0,AE→US,AE,US,2,982,758.0,799,911.11,1.0,1.16,1.05,1.0359
2015-06-16,2015,6,16,1,AE→US,AE,US,2,982,705.3,748,865.33,1.0,1.16,0.88,1.0359
2015-06-17,2015,6,17,2,AE→US,AE,US,2,982,687.0,651,849.4,1.0,1.16,0.92,1.0359
2015-06-18,2015,6,18,3,AE→US,AE,US,2,982,863.3,903,1002.7,1.0,1.16,1.02,1.0359
2015-06-19,2015,6,19,4,AE→US,AE,US,2,982,1012.1,1026,1132.06,1.0,1.16,1.15,1.0359
2015-06-20,2015,6,20,5,AE→US,AE,US,2,982,728.1,663,885.12,1.0,1.16,0.92,1.0359
2015-06-21,2015,6,21,6,AE→US,AE,US,2,982,951.7,970,1079.59,1.0,1.16,1.06,1.0359
2015-06-22,2015,6,22,0,AE→US,AE,US,2,982,728.1,745,885.13,1.0,1.16,1.05,1.0359
2015-06-23,2015,6,23,1,AE→US,AE,US,2,982,717.8,732,876.2,1.0,1.16,0.88,1.0359
2015-06-24,2015,6,24,2,AE→US,AE,US,2,982,721.7,723,879.58,1.0,1.16,0.92,1.0359
2015-06-25,2015,6,25,3,AE→US,AE,US,2,982,883.2,892,1020.0,1.0,1.16,1.02,1.0359
2015-06-26,2015,6,26,4,AE→US,AE,US,2,982,962.6,918,1089.05,1.0,1.16,1.15,1.0359
2015-06-27,2015,6,27,5,AE→US,AE,US,2,982,739.3,704,894.84,1.0,1.16,0.92,1.0359
2015-06-28,2015,6,28,6,AE→US,AE,US,2,982,761.4,808,914.08,1.0,1.16,1.06,1.0359
2015-06-29,2015,6,29,0,AE→US,AE,US,2,982,850.7,861,991.7,1.0,1.16,1.05,1.0359
2015-06-30,2015,6,30,1,AE→US,AE,US,2,982,759.8,731,912.68,1.0,1.16,0.88,1.0359
2015-07-01,2015,7,1,2,AE→US,AE,US,2,982,697.6,687,858.58,1.0,1.2,0.92,1.0427
2015-07-02,2015,7,2,3,AE→US,AE,US,2,982,839.5,811,982.0,1.0,1.2,1.02,1.0427
2015-07-03,2015,7,3,4,AE→US,AE,US,2,982,991.3,976,1114.03,1.0,1.2,1.15,1.0427
2015-07-04,2015,7,4,5,AE→US,AE,US,2,982,862.6,882,1002.08,1.0,1.2,0.92,1.0427
2015-07-05,2015,7,5,6,AE→US,AE,US,2,982,880.0,854,1017.25,1.0,1.2,1.06,1.0427
2015-07-06,2015,7,6,0,AE→US,AE,US,2,982,935.1,907,1065.13,1.0,1.2,1.05,1.0427
2015-07-07,2015,7,7,1,AE→US,AE,US,2,982,605.9,614,778.9,1.0,1.2,0.88,1.0427
2015-07-08,2015,7,8,2,AE→US,AE,US,2,982,786.9,804,936.29,1.0,1.2,0.92,1.0427
2015-07-09,2015,7,9,3,AE→US,AE,US,2,982,995.9,999,1118.02,1.0,1.2,1.02,1.0427
2015-07-10,2015,7,10,4,AE→US,AE,US,2,982,1094.8,1066,1152.0,1.0,1.2,1.15,1.0427
2015-07-11,2015,7,11,5,AE→US,AE,US,2,982,686.7,658,849.1,1.0,1.2,0.92,1.0427
2015-07-12,2015,7,12,6,AE→US,AE,US,2,982,995.8,971,1117.92,1.0,1.2,1.06,1.0427
2015-07-13,2015,7,13,0,AE→US,AE,US,2,982,897.2,872,1032.15,1.0,1.2,1.05,1.0427
2015-07-14,2015,7,14,1,AE→US,AE,US,2,982,678.8,672,842.22,1.0,1.2,0.88,1.0427
2015-07-15,2015,7,15,2,AE→US,AE,US,2,982,899.4,924,1034.07,1.0,1.2,0.92,1.0427
2015-07-16,2015,7,16,3,AE→US,AE,US,2,982,849.0,864,990.22,1.0,1.2,1.02,1.0427
2015-07-17,2015,7,17,4,AE→US,AE,US,2,982,1113.8,1101,1152.0,1.0,1.2,1.15,1.0427
2015-07-18,2015,7,18,5,AE→US,AE,US,2,982,715.6,721,874.24,1.0,1.2,0.92,1.0427
2015-07-19,2015,7,19,6,AE→US,AE,US,2,982,926.7,952,1057.86,1.0,1.2,1.06,1.0427
2015-07-20,2015,7,20,0,AE→US,AE,US,2,982,854.0,790,994.62,1.0,1.2,1.05,1.0427
2015-07-21,2015,7,21,1,AE→US,AE,US,2,982,704.7,672,864.75,1.0,1.2,0.88,1.0427
2015-07-22,2015,7,22,2,AE→US,AE,US,2,982,819.2,806,964.36,1.0,1.2,0.92,1.0427
2015-07-23,2015,7,23,3,AE→US,AE,US,2,982,999.7,1058,1121.3,1.0,1.2,1.02,1.0427
2015-07-24,2015,7,24,4,AE→US,AE,US,2,982,1135.1,1139,1152.0,1.0,1.2,1.15,1.0427
2015-07-25,2015,7,25,5,AE→US,AE,US,2,982,846.8,806,988.31,1.0,1.2,0.92,1.0427
2015-07-26,2015,7,26,6,AE→US,AE,US,2,982,922.2,944,1053.89,1.0,1.2,1.06,1.0427
2015-07-27,2015,7,27,0,AE→US,AE,US,2,982,1012.0,1039,1132.04,1.0,1.2,1.05,1.0427
2015-07-28,2015,7,28,1,AE→US,AE,US,2,982,790.7,768,939.55,1.0,1.2,0.88,1.0427
2015-07-29,2015,7,29,2,AE→US,AE,US,2,982,836.1,847,979.04,1.0,1.2,0.92,1.0427
2015-07-30,2015,7,30,3,AE→US,AE,US,2,982,904.4,853,1038.4,1.0,1.2,1.02,1.0427
2015-07-31,2015,7,31,4,AE→US,AE,US,2,982,999.6,1009,1121.26,1.0,1.2,1.15,1.0427
2015-08-01,2015,8,1,5,AE→US,AE,US,2,982,851.6,906,992.49,1.0,1.18,0.92,1.0494
2015-08-02,2015,8,2,6,AE→US,AE,US,2,982,850.6,809,991.62,1.0,1.18,1.06,1.0494
2015-08-03,2015,8,3,0,AE→US,AE,US,2,982,875.7,888,1013.5,1.0,1.18,1.05,1.0494
2015-08-04,2015,8,4,1,AE→US,AE,US,2,982,663.1,658,828.57,1.0,1.18,0.88,1.0494
2015-08-05,2015,8,5,2,AE→US,AE,US,2,982,782.8,792,932.69,1.0,1.18,0.92,1.0494
2015-08-06,2015,8,6,3,AE→US,AE,US,2,982,893.7,876,1029.17,1.0,1.18,1.02,1.0494
2015-08-07,2015,8,7,4,AE→US,AE,US,2,982,1044.8,1031,1152.0,1.0,1.18,1.15,1.0494
2015-08-08,2015,8,8,5,AE→US,AE,US,2,982,694.8,675,856.2,1.0,1.18,0.92,1.0494
2015-08-09,2015,8,9,6,AE→US,AE,US,2,982,946.9,923,1075.43,1.0,1.18,1.06,1.0494
2015-08-10,2015,8,10,0,AE→US,AE,US,2,982,907.1,851,1040.76,1.0,1.18,1.05,1.0494
2015-08-11,2015,8,11,1,AE→US,AE,US,2,982,842.2,785,984.38,1.0,1.18,0.88,1.0494
2015-08-12,2015,8,12,2,AE→US,AE,US,2,982,804.1,834,951.22,1.0,1.18,0.92,1.0494
2015-08-13,2015,8,13,3,AE→US,AE,US,2,982,800.5,777,948.08,1.0,1.18,1.02,1.0494
2015-08-14,2015,8,14,4,AE→US,AE,US,2,982,979.2,954,1103.5,1.0,1.18,1.15,1.0494
2015-08-15,2015,8,15,5,AE→US,AE,US,2,982,796.2,762,944.34,1.0,1.18,0.92,1.0494
2015-08-16,2015,8,16,6,AE→US,AE,US,2,982,971.0,883,1096.34,1.0,1.18,1.06,1.0494
2015-08-17,2015,8,17,0,AE→US,AE,US,2,982,940.8,946,1070.05,1.0,1.18,1.05,1.0494
2015-08-18,2015,8,18,1,AE→US,AE,US,2,982,732.0,753,888.53,1.0,1.18,0.88,1.0494
2015-08-19,2015,8,19,2,AE→US,AE,US,2,982,864.0,919,1003.29,1.0,1.18,0.92,1.0494
2015-08-20,2015,8,20,3,AE→US,AE,US,2,982,884.3,867,1020.96,1.0,1.18,1.02,1.0494
2015-08-21,2015,8,21,4,AE→US,AE,US,2,982,972.9,986,1098.01,1.0,1.18,1.15,1.0494
2015-08-22,2015,8,22,5,AE→US,AE,US,2,982,832.8,821,976.15,1.0,1.18,0.92,1.0494
2015-08-23,2015,8,23,6,AE→US,AE,US,2,982,928.3,968,1059.24,1.0,1.18,1.06,1.0494
2015-08-24,2015,8,24,0,AE→US,AE,US,2,982,1016.2,1007,1135.63,1.0,1.18,1.05,1.0494
2015-08-25,2015,8,25,1,AE→US,AE,US,2,982,761.8,736,914.44,1.0,1.18,0.88,1.0494
2015-08-26,2015,8,26,2,AE→US,AE,US,2,982,862.1,809,1001.66,1.0,1.18,0.92,1.0494
2015-08-27,2015,8,27,3,AE→US,AE,US,2,982,813.1,780,959.04,1.0,1.18,1.02,1.0494
2015-08-28,2015,8,28,4,AE→US,AE,US,2,982,871.6,936,1009.92,1.0,1.18,1.15,1.0494
2015-08-29,2015,8,29,5,AE→US,AE,US,2,982,638.8,674,807.49,1.0,1.18,0.92,1.0494
